ID;model_name;layers;n_layers;loss;mse;mae;rmse;r2
1;multibranch_model;[50, 50];[1, 1];0.0138877768289787;0.0138874799013137;0.0833596885204315;0.1178451522181281;0.59159255027771
2;lstm_model;50;1;0.0136801275943093;0.0136799244210124;0.0829285308718681;0.1169612090439065;0.5976570248603821
3;gru_model;50;1;0.014067946196941;0.014067530632019;0.0843802392482757;0.1186066213666802;0.5862897634506226
4;multibranch_model;[50, 50];[1, 1];0.0137798297990026;0.0137794399634003;0.08321563154459;0.1173858592991522;0.5947696566581726
5;lstm_model;100;1;0.0135568073343105;0.0135564384981989;0.0825221687555313;0.1164321197015625;0.6013273596763611
6;gru_model;100;1;0.0125931798880953;0.0125928549095988;0.0793400183320045;0.1122178903276961;0.629666268825531
7;multibranch_model;[50, 50];[1, 1];0.0126584856155627;0.0126581927761435;0.0803403630852699;0.112508634229305;0.6277416944503784
8;lstm_model;25;1;0.0126563659074821;0.0126559287309646;0.0800105407834053;0.1124985721285593;0.6278023719787598
9;gru_model;25;1;0.0139877075212644;0.013987448066473;0.0837525650858879;0.1182685421676998;0.5886442065238953
10;multibranch_model;[25, 25];[1, 1];0.0126688294598784;0.0126685453578829;0.0800084844231605;0.1125546327695265;0.6274317502975464
11;lstm_model;50;1;0.0126734390857376;0.0126731013879179;0.0799033194780349;0.1125748701439091;0.627310037612915
12;gru_model;50;1;0.0128834613934309;0.0128830531612038;0.0808641985058784;0.113503538099937;0.6211259365081787
13;multibranch_model;[30, 30];[1, 1];0.0126409850292868;0.0126405283808708;0.0799160003662109;0.1124301044243525;0.6282559037208557
14;lstm_model;100;1;0.0125798477673378;0.0125796562060713;0.0791579857468605;0.1121590665353068;0.6300515532493591
15;gru_model;100;1;0.0125295468628869;0.0125292427837848;0.0790996775031089;0.1119341001830312;0.63153475522995
16;multibranch_model;[10, 10];[1, 1];0.0126637717448038;0.0126635320484638;0.0799684524536132;0.1125323600057504;0.6275806427001953
17;lstm_model;100;1;0.0126369104578261;0.0126365832984447;0.0802912786602974;0.1124125584552044;0.6283788084983826
18;gru_model;100;1;0.012591460427167456;0.01259115431457758;0.07973601669073105;0.11221031287086575;0.6297120451927185
